ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000002.SH,20131021,2333.429,2300.771,2334.556,2292.671,2296.194,37.235,0.016215999999999998,135917761.0,123519459.248
000002.SH,20131018,2296.194,2290.909,2306.18,2286.32,2290.704,5.49,0.002397,103298580.0,90578387.578
000002.SH,20131017,2290.704,2304.56,2314.25,2285.155,2295.505,-4.801,-0.002091,126157605.0,112773363.148
000002.SH,20131016,2295.505,2332.22,2332.22,2285.384,2337.758,-42.253,-0.018074,153950400.0,137780990.658
000002.SH,20131015,2337.758,2342.564,2344.932,2324.896,2342.377,-4.619,-0.001972,153090880.0,138225907.313
000002.SH,20131014,2342.377,2336.458,2347.804,2330.381,2332.202,10.175,0.0043630000000000006,165304200.0,151215261.979
000002.SH,20131011,2332.202,2304.242,2332.961,2303.283,2293.229,38.973,0.016995,155968716.0,141722298.269
000002.SH,20131010,2293.229,2317.912,2318.108,2288.604,2315.144,-21.915,-0.009466,149060894.0,136221772.06
000002.SH,20131009,2315.144,2293.81,2315.754,2287.309,2300.949,14.195,0.006169,130182238.0,117630160.995
000002.SH,20131008,2300.949,2273.38,2302.857,2262.491,2276.265,24.684,0.010844,126137754.0,114651647.866
000002.SH,20130930,2276.265,2269.16,2278.126,2266.399,2261.045,15.22,0.006731,92287700.0,88609519.169
000002.SH,20130927,2261.045,2251.673,2267.093,2250.166,2256.683,4.362,0.001933,104764745.0,97353056.242
000002.SH,20130926,2256.683,2294.695,2294.695,2255.542,2301.235,-44.552,-0.01936,139572896.0,125140594.043
000002.SH,20130925,2301.235,2309.293,2321.678,2296.251,2310.672,-9.437,-0.004084,159279591.0,143101845.479
000002.SH,20130924,2310.672,2323.279,2323.348,2289.397,2324.879,-14.207,-0.006111,159559065.0,142785062.201
000002.SH,20130923,2324.879,2302.254,2327.02,2301.182,2294.403,30.476,0.013283,132286526.0,120884338.82
000002.SH,20130918,2294.403,2288.36,2298.68,2273.644,2287.939,6.464,0.002825,114464690.0,100887561.983
000002.SH,20130917,2287.939,2335.096,2335.667,2287.255,2336.12,-48.181,-0.020623999999999997,153952959.0,132059223.01
000002.SH,20130916,2336.12,2349.755,2354.004,2330.569,2341.054,-4.934,-0.002108,154230416.0,133148088.658
000002.SH,20130913,2341.054,2356.827,2365.252,2332.882,2361.199,-20.145,-0.008532,170896479.0,139837032.32
000002.SH,20130912,2361.199,2340.722,2376.6,2330.432,2346.107,15.092,0.0064329999999999995,208907361.0,166849524.494
000002.SH,20130911,2346.107,2350.178,2363.794,2337.493,2342.862,3.245,0.0013850000000000002,243117613.0,194897007.16
000002.SH,20130910,2342.862,2318.699,2343.461,2306.073,2316.302,26.56,0.011467,236045792.0,190515135.456
000002.SH,20130909,2316.302,2252.164,2322.844,2252.164,2240.229,76.073,0.033958,218446635.0,178389548.984
000002.SH,20130906,2240.229,2218.535,2243.65,2218.234,2221.825,18.404,0.008283,142132418.0,118561818.376
000002.SH,20130905,2221.825,2224.729,2227.517,2214.245,2227.221,-5.396,-0.002423,126153430.0,105570586.178
000002.SH,20130904,2227.221,2220.894,2232.825,2214.709,2222.438,4.783,0.002152,141431163.0,116195004.227
000002.SH,20130903,2222.438,2198.712,2223.224,2193.454,2196.601,25.837,0.011762,138380323.0,112192238.183
000002.SH,20130902,2196.601,2202.386,2207.22,2175.584,2196.383,0.218,9.900000000000001e-05,148398397.0,120734771.074
